timestamp,open,high,low,close,volume
2019-03-20,398.0000,398.1500,393.1000,394.0500,683099
2019-03-19,397.5000,400.6000,394.0000,398.1500,822026
2019-03-18,395.6000,399.8000,393.5000,397.8000,2570521
2019-03-15,388.1000,398.3000,388.1000,395.7000,1665954
2019-03-14,392.0000,393.0000,386.9500,387.9000,919995
2019-03-13,384.0000,393.1500,384.0000,391.8500,1743996
2019-03-12,378.5000,389.0000,377.1500,388.2000,3821305
2019-03-11,370.8000,378.2000,370.1500,375.9000,1227627
2019-03-08,370.4000,373.2000,367.7500,370.1500,1996572
2019-03-07,372.0000,373.9500,368.4500,370.4000,1104238
2019-03-06,364.1500,372.6500,364.1500,371.6000,2540748
2019-03-05,355.0000,363.3500,352.8500,362.3500,1596215
2019-03-01,351.8000,354.9000,350.1000,353.5000,2973739
2019-02-28,348.2500,350.9000,345.0000,348.8000,1140282
2019-02-27,350.5500,354.6000,343.3500,345.8000,1595231
2019-02-26,352.1000,352.5000,346.8000,348.1000,1984065
2019-02-25,353.4500,357.4000,352.7500,355.5000,792990
2019-02-22,351.9500,353.9500,351.4000,351.7500,784388
2019-02-21,346.0000,354.7000,346.0000,350.4000,1173477
2019-02-20,344.1500,347.6500,342.3500,345.2000,888843
2019-02-19,340.3000,350.4000,339.8500,343.3500,806016
2019-02-18,341.5500,343.0500,337.2000,338.5500,938255
2019-02-15,344.3500,347.7000,340.5500,342.0000,1198588
2019-02-14,340.7000,346.5000,336.2500,343.1000,2089201
2019-02-12,349.8500,352.0000,343.2500,344.4500,977291
2019-02-11,355.0000,355.0000,348.6000,349.3000,1719251
2019-02-08,353.1000,357.8000,350.8000,354.9000,339569
2019-02-07,359.0000,361.5500,356.5000,358.7500,978317
2019-02-06,353.0000,361.5000,353.0000,358.9000,600716
2019-02-05,354.9500,355.5000,348.9000,352.3500,418855
2019-02-04,351.6000,356.7000,346.0000,354.6000,902313
2019-02-01,364.0000,365.7000,348.7000,354.5000,1192940
2019-01-31,372.7000,376.6000,354.1000,364.2500,2786034
2019-01-30,351.0000,368.0500,351.0000,365.2500,3349570
2019-01-29,344.8500,350.5000,341.6000,346.9000,693728
2019-01-28,354.2000,354.9000,336.8500,343.4500,1647313
2019-01-25,361.2500,364.4500,354.5000,357.1000,2252490
2019-01-24,365.0000,368.4500,361.7000,365.0000,1638200
2019-01-23,369.7000,373.5000,366.4000,367.6500,257812
2019-01-22,369.1000,372.5000,366.1500,369.0000,1645475
2019-01-21,372.0000,376.2000,370.2500,371.2500,3200794
2019-01-18,374.2000,376.5000,370.0500,371.9000,2567765
2019-01-17,376.0000,377.9500,372.6000,373.3500,3274921
2019-01-16,372.5000,379.4500,372.5000,375.1000,837191
2019-01-15,374.9000,375.3500,370.4500,372.5500,4222659
2019-01-14,378.4000,378.4000,372.7000,373.4000,557428
2019-01-11,380.8000,381.0000,375.2500,378.5500,941283
2019-01-10,380.1000,382.1000,376.2000,379.7000,443205
2019-01-09,382.1000,383.3500,375.9000,382.0000,1057917
2019-01-08,367.9000,381.6000,366.7500,380.2000,1032984
2019-01-07,368.3000,370.9000,366.5500,367.5000,578260
2019-01-04,361.5000,368.5500,358.0500,365.5500,714180
2019-01-03,365.0000,367.3500,362.0000,363.2500,589568
2019-01-02,362.6500,367.9500,360.4500,364.3500,716589
2019-01-01,362.0000,364.8500,356.5000,363.6500,257616
2018-12-31,361.6000,363.6000,359.3500,360.0000,403731
2018-12-28,357.3500,362.7500,357.3500,361.0500,381486
2018-12-27,357.3000,360.7000,354.7500,355.4000,263706
2018-12-26,351.7500,356.5000,348.0000,355.3500,479217
2018-12-24,353.7000,357.0500,351.7500,353.3000,290654
2018-12-21,362.8500,363.5000,351.3000,353.3500,1584031
2018-12-20,363.8000,365.6000,361.3000,362.2500,615997
2018-12-19,364.6500,369.2500,361.0500,366.6000,615426
2018-12-18,358.0000,362.7500,354.5500,362.3500,7145339
2018-12-17,352.0000,360.0000,351.9500,358.0000,606882
2018-12-14,349.9000,354.0000,349.3500,352.1000,692819
2018-12-13,352.1500,354.1500,347.0000,349.3000,692476
2018-12-12,344.4000,351.5000,339.5000,350.4000,2410005
2018-12-11,338.0000,344.4500,335.9000,342.7500,1040638
2018-12-10,347.0000,349.5500,344.3500,346.3500,472824
2018-12-07,349.9000,353.0000,345.6500,352.1500,756168
2018-12-06,349.4000,349.9000,343.5000,347.5500,575568
2018-12-05,355.8000,356.0000,349.7000,351.1000,553546
2018-12-04,352.3500,359.2000,352.3500,358.0000,527262
2018-12-03,359.8000,359.8000,352.3000,355.5000,559877
2018-11-30,363.5500,364.8000,354.0500,355.0000,713925
2018-11-29,362.4000,366.2000,360.1500,362.2500,804496
2018-11-28,357.7000,361.4500,353.5000,359.0500,856921
2018-11-27,356.5000,356.5000,351.7000,354.3500,560847
2018-11-26,355.9000,357.7500,350.7500,356.5000,687664
2018-11-22,359.1500,359.2500,351.0000,351.9500,1295026
2018-11-21,356.0000,360.2000,353.0500,356.8000,662309
2018-11-20,362.5500,365.5000,354.8500,358.0000,746089
2018-11-19,370.0000,370.4500,360.7500,362.5000,485938
2018-11-16,371.0000,375.2500,365.5000,367.4000,981628
2018-11-15,365.0000,374.7500,362.0000,369.6000,1269746
2018-11-14,363.6000,369.5000,361.4000,366.6000,1470867
2018-11-13,348.0000,362.0000,348.0000,360.9000,873474
2018-11-12,357.8000,358.0000,351.7500,352.3000,560641
2018-11-09,357.0500,357.8000,352.7000,355.8000,568619
2018-11-07,356.8500,357.2500,354.7000,356.0000,199246
2018-11-06,349.8000,358.1000,347.6500,353.2000,775936
